run,n,block,side,neuron,energy,e_block,r1,rank,stab_u,ord_u,stab_v,ord_v
aff11_wu_m128_seed2,11,11,x,0,229.64463969408416,0.9999978253464238,0.9999953352672145,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,1,116.4562630144669,0.9999967567120932,0.9999873043826514,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,2,154.030851198659,0.9999993302159934,0.9999966920067388,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,3,265.1604316575291,0.9999987644552049,0.9999938349187922,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,4,171.02260785976722,0.9999982619097146,0.9999954998132509,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,5,164.29266892226065,0.9999974892073108,0.9999951072176263,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,6,230.4363351776711,0.9999962880395306,0.9999967336969275,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,7,17.955685046109842,0.9130988941181661,0.9999919806337343,1,1,1,1,1
aff11_wu_m128_seed2,11,11,x,8,247.48444948102528,0.9999982997734862,0.9999939429761603,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,9,265.8256300476954,0.9999981815080463,0.9999953476563705,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,10,174.06635852257725,0.9999997037161571,0.999993663361221,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,11,237.63985344163814,0.9999989104498215,0.9999955308652182,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,12,226.43409896032028,0.9999985978344473,0.999995299513002,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,13,230.2211310799906,0.9999990638572387,0.999995589748369,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,14,155.51497663911493,0.9999976061769243,0.9999955095533501,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,15,239.78920871941065,0.9999987399935328,0.9999951372323741,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,17,215.86346492917934,0.9999977344321948,0.9999954886962419,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,18,256.9749587039056,0.9999987881211095,0.9999946239341096,1,1,1,M,10
