run,block,n_cols,frac_rank1,wmean_r1,rank_dist,stabilizer_types_u_v
aff11_wu100k_m128_seed1,11,240,1.0,0.9999982895056219,1:1.00,M/1:0.50 1/M:0.50 1/1:0.00
aff11_wu_m128_seed2,11,238,1.0,0.9999948502738895,1:1.00,1/M:0.50 M/1:0.50 1/1:0.00 I/1:0.00 1/I:0.00
aff15_wu_m128_seed1,5,109,1.0000000000000002,0.9999994997342669,1:1.00,I/M:0.50 M/I:0.50 I/I:0.00
aff15_wu_m128_seed3,5,109,1.0,0.9999993320568813,1:1.00,M/I:0.50 I/M:0.50 I/I:0.00
aff15_wu_m512_seed1,5,213,0.9999999999999999,0.9999996692192152,1:1.00,M/I:0.50 I/M:0.50 I/I:0.00
aff16_wu_m128_seed1,8,30,1.0,0.9999882788046884,1:1.00,I/I:1.00
aff16_wu_m128_seed1,16,178,1.0,0.999996189318053,1:1.00,I/I:1.00
aff16_wu_m128_seed2,8,22,1.0,0.9999761848171869,1:1.00,I/I:1.00
aff16_wu_m128_seed2,16,170,0.06586075515110676,0.9819502986801854,1:0.26 2:0.74,I/I:0.07
aff16_wu_m128_seed3,16,188,0.9999999999999999,0.9999920082751803,1:1.00,I/I:1.00
aff16_wu_m128_seed4,16,170,0.9999999999999999,0.9999897176089557,1:1.00,I/I:1.00
aff16_wu_m128_seed5,16,180,1.0,0.9999930590769788,1:1.00,I/I:1.00
aff21_wu_m128_seed1,7,145,1.0,0.999998362781177,1:1.00,I/M:0.50 M/I:0.50 I/I:0.00
aff21_wu_m128_seed2,7,149,0.9999999999999998,0.9999985092781989,1:1.00,M/I:0.50 I/M:0.50 I/I:0.00
