run,group,n,nmod,recipe,seed,hidden,epochs,test_acc,included
aff11_wu100k_m128_seed1,aff11,110,11,wu,1,128,100000,1.0,True
aff11_wu100k_m128_seed2,aff11,110,11,wu,2,128,100000,1.0,True
aff11_wu100k_m128_seed3,aff11,110,11,wu,3,128,100000,0.9998622536659241,True
aff11_wu100k_m128_seed4,aff11,110,11,wu,4,128,100000,1.0,True
aff11_wu100k_m128_seed5,aff11,110,11,wu,5,128,100000,1.0,True
aff11_wu_m128_seed1,aff11,110,11,wu,1,128,25000,0.01597796194255352,False
aff11_wu_m128_seed2,aff11,110,11,wu,2,128,25000,1.0,True
aff13_chughtai_m128_seed1,aff13,156,13,chughtai,1,128,250000,0.010888919234275818,False
aff13_chughtai_m128_seed2,aff13,156,13,chughtai,2,128,250000,0.009930146858096123,False
aff13_wu100k_m128_seed1,aff13,156,13,wu,1,128,100000,0.01623065397143364,False
aff13_wu100k_m256_seed1,aff13,156,13,wu,1,256,100000,1.0,True
aff13_wu100k_m256_seed2,aff13,156,13,wu,2,256,100000,1.0,True
aff13_wu_m128_seed1,aff13,156,13,wu,1,128,25000,0.01636762171983719,False
aff13_wu_m128_seed2,aff13,156,13,wu,2,128,25000,0.03205040469765663,False
aff15_chughtai_m128_seed1,aff15,120,15,chughtai,1,128,250000,1.0,True
aff15_chughtai_m128_seed2,aff15,120,15,chughtai,2,128,250000,1.0,True
aff15_chughtai_m128_seed3,aff15,120,15,chughtai,3,128,250000,1.0,True
aff15_chughtai_m128_seed4,aff15,120,15,chughtai,4,128,250000,1.0,True
aff15_chughtai_m128_seed5,aff15,120,15,chughtai,5,128,250000,1.0,True
aff15_wu_m128_seed1,aff15,120,15,wu,1,128,25000,1.0,True
aff15_wu_m128_seed2,aff15,120,15,wu,2,128,25000,1.0,True
aff15_wu_m128_seed3,aff15,120,15,wu,3,128,25000,1.0,True
aff15_wu_m128_seed4,aff15,120,15,wu,4,128,25000,1.0,True
aff15_wu_m128_seed5,aff15,120,15,wu,5,128,25000,1.0,True
aff15_wu_m512_seed1,aff15,120,15,wu,1,512,25000,1.0,True
aff15_wu_m512_seed2,aff15,120,15,wu,2,512,25000,1.0,True
aff15_wu_m512_seed3,aff15,120,15,wu,3,512,25000,1.0,True
aff15_wu_m512_seed4,aff15,120,15,wu,4,512,25000,1.0,True
aff15_wu_m512_seed5,aff15,120,15,wu,5,512,25000,1.0,True
aff16_wu_m128_seed1,aff16,128,16,wu,1,128,25000,1.0,True
aff16_wu_m128_seed2,aff16,128,16,wu,2,128,25000,1.0,True
aff16_wu_m128_seed3,aff16,128,16,wu,3,128,25000,1.0,True
aff16_wu_m128_seed4,aff16,128,16,wu,4,128,25000,1.0,True
aff16_wu_m128_seed5,aff16,128,16,wu,5,128,25000,0.9998982548713684,True
aff21_wu_m128_seed1,aff21,252,21,wu,1,128,25000,1.0,True
aff21_wu_m128_seed2,aff21,252,21,wu,2,128,25000,1.0,True
aff21_wu_m128_seed3,aff21,252,21,wu,3,128,25000,1.0,True
aff21_wu_m128_seed4,aff21,252,21,wu,4,128,25000,1.0,True
aff21_wu_m128_seed5,aff21,252,21,wu,5,128,25000,1.0,True
