run,n,block,dim,n_cols,energy_share,F_plain,F_twist,F_both,med_alpha_plain,med_alpha_twist,plain_side,twist_side,verdict,support_orbit_dist,energy_by_block,frac_block_dominant,comp_energy,C_plain,C_plainchar,C_twist,wmean_alpha_plain,wmean_alpha_plainchar,wmean_alpha_twist,verdict_component
aff11_wu100k_m128_seed1,11.0,11,10.0,240.0,0.8776872967830462,0.9993480264866066,0.0,0.0,0.9999958465989846,0.2992071578567675,l:0.50 r:0.50,l:0.50 r:0.50,plain,10:1.00,d0:0.12 d11:0.88,0.9131161307266343,44687.00331130618,0.9992715930468682,0.0,0.0,0.9994157564439894,0.3580291318059051,0.2995171552210498,plain
aff11_wu100k_m128_seed2,11.0,11,10.0,232.0,0.819205768679644,1.0,0.0,0.0,0.9999953734812231,0.41762080806221796,l:0.50 r:0.50,l:0.50 r:0.50,plain,10:1.00,d0:0.18 d11:0.82,0.8586031814671332,43141.08276469575,0.9999939176730256,0.0,0.0,0.9999907988579221,0.7483441748416712,0.41761764427099407,plain
aff11_wu100k_m128_seed3,11.0,11,10.0,232.0,0.809548570059655,0.9947933082585676,0.0,0.0,0.9999956635816643,0.31584384254360187,l:0.50 r:0.50,l:0.50 r:0.50,plain,10:1.00,d0:0.19 d11:0.81,0.8451852486869833,41985.02142199632,0.9948417866949152,0.0,0.0,0.9973473622936748,0.7422914803754853,0.31710872906716986,plain
aff11_wu100k_m128_seed4,11.0,11,10.0,238.0,0.841292799678454,1.0,0.0,0.0,0.9999960352536428,0.3479171830522519,l:0.50 r:0.50,l:0.50 r:0.50,plain,10:1.00,d0:0.16 d11:0.84,0.8796881656159659,43691.54817460301,0.9998853376605485,0.0,0.0,0.9999071193082761,0.6677618504407723,0.34795236728005624,plain
aff11_wu100k_m128_seed5,11.0,11,10.0,230.0,0.8452060965716355,0.9944059511207604,0.0,0.0,0.999994231303167,0.26663612894513455,l:0.50 r:0.50,l:0.50 r:0.50,plain,10:1.00,d0:0.15 d11:0.85,0.891804963391765,39913.768032836444,0.9944813735444855,0.0,0.0007302515211939929,0.9969128420633527,0.4206318973651182,0.26813970916954116,plain
aff11_wu_m128_seed2,11.0,11,10.0,238.0,0.8699307142423301,0.9944926986072922,0.0,0.0,0.9999883889198392,0.38977702601063463,l:0.50 r:0.50,l:0.50 r:0.50,plain,10:1.00,d0:0.13 d11:0.87,0.9081251319447241,45280.88015535765,0.9946212397437869,0.0,0.0,0.9969269860648937,0.4537509235397383,0.39034467341148504,plain
aff13_wu100k_m256_seed1,13.0,13,12.0,455.0,0.9077803694818799,0.999967048216732,0.0,0.0,0.999993856291632,0.32857945230646074,l:0.50 r:0.50,l:0.50 r:0.50,plain,6:0.00 12:1.00,d0:0.09 d13:0.91,0.9370564877118823,74388.95246986416,0.9999673963098514,0.0,0.0,0.9999724003823864,0.3488988059034354,0.3285827971487775,plain
aff13_wu100k_m256_seed2,13.0,13,12.0,425.0,0.8200258726634327,0.9999999785527812,0.0,0.0,0.9999952169789639,0.3425801893963878,l:0.50 r:0.50,l:0.50 r:0.50,plain,12:1.00,d0:0.18 d13:0.82,0.8545808352535055,63010.27651241248,1.0,0.0,0.0,0.9999958219332662,0.3524931709826886,0.34259049010319526,plain
aff15_chughtai_m128_seed1,15.0,15,8.0,0.0,0.0,,,,,,,,empty,,d0:0.65 d3:0.35,0.8231572094277939,0.4224515682703187,0.035023425470737723,0.035023425470737723,0.0,0.34597099388187025,0.4649321397618913,0.33030053593362607,neither
aff15_chughtai_m128_seed1,15.0,5,4.0,0.0,0.0,,,,,,,,empty,,,,0.060148526354792696,0.0,0.0,0.0004837689254296394,0.43593442198966437,0.46211155500178835,0.6859663199043297,neither
