run,n,block,dim,n_cols,energy_share,F_plain,F_twist,F_both,med_alpha_plain,med_alpha_twist,plain_side,twist_side,verdict,energy_by_block,frac_block_dominant
randinit_aff11_seed1,11,11,10,181,0.7070820117754236,0.0,0.0,0.0,0.18002752701674185,0.27064180532352716,l:0.49 r:0.51,l:0.52 r:0.48,neither,d11:1.00,0.7070820117754236
randinit_aff11_seed2,11,11,10,175,0.6821494132330173,0.0,0.0,0.0,0.1777935840216918,0.2772983370451621,l:0.59 r:0.41,l:0.51 r:0.49,neither,d11:1.00,0.6821494132330173
randinit_aff11_seed3,11,11,10,188,0.730267263124157,0.0,0.0,0.0,0.1798662404427392,0.2711159007727657,l:0.51 r:0.49,l:0.50 r:0.50,neither,d11:1.00,0.730267263124157
randinit_aff11_seed4,11,11,10,175,0.679177279816142,0.0,0.0,0.0,0.17789698980090235,0.27463713827884684,l:0.48 r:0.52,l:0.51 r:0.49,neither,d11:1.00,0.679177279816142
randinit_aff11_seed5,11,11,10,177,0.6924784858903951,0.0,0.0,0.0,0.1762143391554701,0.27180378540967953,l:0.54 r:0.46,l:0.48 r:0.52,neither,d11:1.00,0.6924784858903951
randinit_aff11_seed6,11,11,10,185,0.7210672596302967,0.0,0.0,0.0,0.18014858415000695,0.27554445471950867,l:0.54 r:0.46,l:0.48 r:0.52,neither,d11:1.00,0.7210672596302967
randinit_aff11_seed7,11,11,10,182,0.7128703704860042,0.0,0.0,0.0,0.18086593830751274,0.26818133661105437,l:0.60 r:0.40,l:0.54 r:0.46,neither,d11:1.00,0.7128703704860042
randinit_aff11_seed8,11,11,10,184,0.7156445157663552,0.0,0.0,0.0,0.18378626522755162,0.27042047300898386,l:0.46 r:0.54,l:0.52 r:0.48,neither,d11:1.00,0.7156445157663552
randinit_aff11_seed9,11,11,10,178,0.6998771427709991,0.0,0.0,0.0,0.1837224378976785,0.27676069914334983,l:0.48 r:0.52,l:0.47 r:0.53,neither,d11:1.00,0.6998771427709991
randinit_aff11_seed10,11,11,10,168,0.6516587947404932,0.0,0.0,0.0,0.180345107342595,0.26935827329281625,l:0.50 r:0.50,l:0.55 r:0.45,neither,d11:1.00,0.6516587947404932
