run,n,block,side,neuron,energy,alpha,family,coset_side
aff11_wu100k_m128_seed1,11,11,x,0,192.7026043917186,0.9999950064535992,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,1,159.42319373252232,0.9999960571201635,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,2,127.0342882174043,0.9999930187985763,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,3,190.24370184423697,0.9999964155585404,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,5,157.89570729634852,0.9999961857965319,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,6,21.221968658050987,0.9999571343290855,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,7,148.12680498164127,0.9999945755224087,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,8,236.57601856172093,0.9999974635381087,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,9,226.82141133533543,0.9999925525608171,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,10,187.65476796589104,0.9999959352389326,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,11,167.91736166915322,0.9999960176478107,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,12,203.6268493026861,0.9999964736753421,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,13,201.54770759101282,0.9999965451976542,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,14,188.2661823578629,0.9999959561084817,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,15,186.25135896453847,0.9999964882442826,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,16,158.12810331209923,0.9999969695691938,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,17,192.58981695538722,0.9999956631680621,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,18,157.59276640364988,0.9999942043815767,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,19,137.7304269921394,0.9999936356895922,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,20,248.43783296165833,0.9999959143318069,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,21,186.09652294209124,0.9999964621481175,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,22,178.30205009809092,0.9999950488367841,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,23,201.11806451736084,0.9999966400273747,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,24,114.44497161682604,0.9999890499230916,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,25,146.57593525355588,0.9999925605208283,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,26,208.98544332168197,0.9999941634525958,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,27,191.67502594215506,0.9999941431892883,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,28,228.43994407168432,0.9999961125589968,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,29,180.84139845967033,0.9999959856367974,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,30,164.0534886671672,0.9999906765163957,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,31,120.19695641295827,0.9999925246591874,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,32,113.47232614762389,0.9999920780516445,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,33,237.99737338151746,0.99999524697667,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,34,229.86762866828647,0.9999949218925226,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,35,209.36022369729776,0.9999955219988108,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,36,190.69395597475173,0.9999941630640073,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,37,124.68387987585804,0.999993591195225,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,38,224.67104902398393,0.9999963093299433,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,39,158.41798125092538,0.9999951489547978,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,40,240.25840862669978,0.999995856444131,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,41,169.3461602864277,0.9999965779453089,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,42,170.97722419973013,0.9999945367444936,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,43,242.7713331016941,0.9999971635143469,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,44,196.84277212678035,0.9999959959987872,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,46,191.39798794975707,0.9999953133122994,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,48,145.50725144510648,0.9999960857866521,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,49,142.19981286343452,0.999992080880032,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,50,173.21772915854382,0.9999961462183525,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,51,212.7687742807613,0.9999945683514907,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,52,199.5650255578559,0.9999963515970869,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,53,224.54034277512932,0.9999963851197675,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,55,162.22219000570618,0.999994578657719,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,56,246.57812402734413,0.9999941396573702,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,57,148.73462740573802,0.9999954670737338,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,58,220.90535447148548,0.9999945909918838,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,59,197.5840791346727,0.9999941132575745,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,60,187.4862962150008,0.9999965063013339,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,61,183.41505101849717,0.9999950901851427,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,62,179.55179782213176,0.9999960895698877,M_x (point stabilizer) idx=11 triv,r
aff11_wu100k_m128_seed1,11,11,x,64,187.04855569567573,0.9999951494876015,M_x (point stabilizer) idx=11 triv,r
