run,block,n_cols,frac_explained,null_mean,null_p99,null_P90,families
aff11_wu100k_m128_seed1,11,240,0.9993480264866068,0.21201262786593844,0.28908479837050005,0.0,M_x (point stabilizer) idx=11 triv:1.00
aff11_wu100k_m128_seed2,11,232,1.0000000000000002,0.21201262786593844,0.28908479837050005,0.0,M_x (point stabilizer) idx=11 triv:1.00
aff11_wu100k_m128_seed3,11,232,0.9947933082585676,0.21201262786593844,0.28908479837050005,0.0,M_x (point stabilizer) idx=11 triv:0.99
aff11_wu100k_m128_seed4,11,238,0.9999999999999998,0.21201262786593844,0.28908479837050005,0.0,M_x (point stabilizer) idx=11 triv:1.00
aff11_wu100k_m128_seed5,11,230,0.9944059511207606,0.21201262786593844,0.28908479837050005,0.0,M_x (point stabilizer) idx=11 triv:0.99
aff11_wu_m128_seed2,11,238,0.9944926986072922,0.21201262786593844,0.28908479837050005,0.0,M_x (point stabilizer) idx=11 triv:0.99
aff15_chughtai_m128_seed1,5β,166,1.0000000000000002,0.7856856758928703,0.9419610741730388,0.0625,"other |H|=12 units=4 transl=5Z idx=10 char:0.72 | S_x,5 (stabilizer mod 5) idx=5 char:0.18 | M_x (point stabilizer) idx=15 char:0.11"
aff15_chughtai_m128_seed2,5,122,1.0,0.789593350471327,0.9372942152870718,0.07,"S_x,5 (stabilizer mod 5) idx=5 triv:1.00 | other |H|=12 units=4 transl=5Z idx=10 triv:0.00"
aff15_chughtai_m128_seed3,5,148,1.0,0.789593350471327,0.9372942152870718,0.07,"S_x,5 (stabilizer mod 5) idx=5 triv:1.00"
aff15_chughtai_m128_seed4,5,156,0.9999999999999998,0.789593350471327,0.9372942152870718,0.07,"S_x,5 (stabilizer mod 5) idx=5 triv:0.99 | other |H|=12 units=4 transl=5Z idx=10 triv:0.01"
aff15_chughtai_m128_seed5,5,58,1.0,0.789593350471327,0.9372942152870718,0.07,"S_x,5 (stabilizer mod 5) idx=5 triv:1.00"
aff15_chughtai_m128_seed5,5β,103,1.0,0.7856856758928703,0.9419610741730388,0.0625,other |H|=12 units=4 transl=5Z idx=10 char:0.96 | other |H|=12 units=4 transl=5Z idx=10 triv:0.03 | M_x (point stabilizer) idx=15 char:0.01
aff15_wu_m128_seed1,5,109,0.9999997718168302,0.789593350471327,0.9372942152870718,0.07,"S_x,5 (stabilizer mod 5) idx=5 triv:0.40 | M_x (point stabilizer) idx=15 triv:0.32 | other |H|=12 units=4 transl=5Z idx=10 triv:0.28"
aff15_wu_m128_seed2,5,69,0.999999988559038,0.789593350471327,0.9372942152870718,0.07,"other |H|=12 units=4 transl=5Z idx=10 triv:0.70 | S_x,5 (stabilizer mod 5) idx=5 triv:0.18 | M_x (point stabilizer) idx=15 triv:0.12"
aff15_wu_m128_seed3,5,109,0.9999997622810375,0.789593350471327,0.9372942152870718,0.07,"M_x (point stabilizer) idx=15 triv:0.38 | other |H|=12 units=4 transl=5Z idx=10 triv:0.35 | S_x,5 (stabilizer mod 5) idx=5 triv:0.27"
aff15_wu_m128_seed4,5,117,0.9999996482952128,0.789593350471327,0.9372942152870718,0.07,"M_x (point stabilizer) idx=15 triv:0.47 | S_x,5 (stabilizer mod 5) idx=5 triv:0.42 | other |H|=12 units=4 transl=5Z idx=10 triv:0.10"
aff15_wu_m128_seed5,5β,140,0.9999999133181204,0.7856856758928703,0.9419610741730388,0.0625,"S_x,5 (stabilizer mod 5) idx=5 char:0.54 | other |H|=12 units=4 transl=5Z idx=10 char:0.35 | M_x (point stabilizer) idx=15 char:0.11"
aff15_wu_m512_seed1,5,213,0.9999978568378829,0.789593350471327,0.9372942152870718,0.07,"S_x,5 (stabilizer mod 5) idx=5 triv:0.37 | M_x (point stabilizer) idx=15 triv:0.35 | other |H|=12 units=4 transl=5Z idx=10 triv:0.28"
aff15_wu_m512_seed2,5β,354,0.9999964173320218,0.7856856758928703,0.9419610741730388,0.0625,"M_x (point stabilizer) idx=15 char:0.47 | other |H|=12 units=4 transl=5Z idx=10 char:0.28 | S_x,5 (stabilizer mod 5) idx=5 char:0.26"
aff15_wu_m512_seed3,5β,366,0.999998089251681,0.7856856758928703,0.9419610741730388,0.0625,"other |H|=12 units=4 transl=5Z idx=10 char:0.46 | S_x,5 (stabilizer mod 5) idx=5 char:0.42 | M_x (point stabilizer) idx=15 char:0.13"
aff15_wu_m512_seed4,5,196,0.9999991856860666,0.789593350471327,0.9372942152870718,0.07,"other |H|=12 units=4 transl=5Z idx=10 triv:0.47 | M_x (point stabilizer) idx=15 triv:0.34 | S_x,5 (stabilizer mod 5) idx=5 triv:0.20"
aff15_wu_m512_seed5,5β,308,0.9999999050815507,0.7856856758928703,0.9419610741730388,0.0625,"other |H|=12 units=4 transl=5Z idx=10 char:0.62 | S_x,5 (stabilizer mod 5) idx=5 char:0.38"
aff16_wu_m128_seed1,16,178,1.0,0.40810862672227427,0.5374632017273845,0.0,M_x (point stabilizer) idx=16 triv:0.98 | other |H|=8 units=8 transl=none idx=16 char:0.01 | other |H|=8 units=4 transl=8Z idx=16 char:0.01
aff16_wu_m128_seed1,8,30,1.0,1.0,1.0000000000000009,1.0,other |H|=8 units=4 transl=8Z idx=16 triv:0.74 | other |H|=8 units=2 transl=4Z idx=16 char:0.13 | other |H|=16 units=8 transl=8Z idx=8 triv:0.07
aff16_wu_m128_seed2,16,170,0.0,0.40810862672227427,0.5374632017273845,0.0,
aff16_wu_m128_seed2,8,22,1.0,1.0,1.0000000000000009,1.0,other |H|=8 units=4 transl=8Z idx=16 triv:1.00
