run,n_cols,n_live,n_aligned,frac_aligned,F_coset,F_coset_x,F_coset_y,families,median_alpha_primary
S5_MLP_seed11,256,208,208,1.0,1.0,1.0,1.0,S4:0.92 A5:0.06 S3xS2:0.01,0.999999989439548
S5_MLP_seed12,256,232,232,1.0,1.0,1.0,1.0,S4:0.91 A5:0.07 S3xS2:0.02,0.999999988879759
S5_MLP_seed13,256,256,256,1.0,1.0,1.0,1.0,S4:0.56 S3xS2:0.38 A5:0.06,0.9999997602115422
S5_MLP_seed14,256,256,256,1.0,1.0,1.0,1.0,F20:0.78 A4:0.16 S4:0.03 S3xS2~sgn:0.02 S4~sgn:0.00,0.9999999823520194
S5_MLP_seed15,256,254,248,0.9763779527559056,0.9979991243125215,0.9979991895326912,0.9979990590944137,S4:0.50 F20:0.47 A5:0.03 S3xS2:0.00,0.9999999908799426
S5_MLP_seed16,256,244,244,1.0,1.0,1.0,1.0,S4:0.93 A5:0.07 S3xS2:0.01,0.9999999908243311
S5_MLP_seed17,256,210,210,1.0,1.0,1.0,1.0,S4:0.92 A5:0.07 S3xS2:0.01 A4:0.00,0.9999999896803147
S5_MLP_seed18,256,206,206,1.0,1.0,1.0,1.0,S4:0.61 A4:0.35 A5:0.02 S3xS2~sgn:0.01 S3xS2:0.01,0.9999999786234488
S5_MLP_seed19,256,242,242,1.0,1.0,1.0,1.0,S4:0.92 A5:0.07 S3xS2:0.01,0.9999999891245399
S5_MLP_seed20,256,250,250,1.0,1.0,1.0,1.0,F20:0.39 D10:0.39 S4:0.14 A4:0.07 A5:0.01 S3xS2~sgn:0.01,0.9999448640109663
S5_MLP_seed21,256,226,224,0.9911504424778761,0.9999995588609881,0.9999995588951593,0.9999995588268212,S4:0.95 A5:0.04 S3xS2:0.01,0.9999999865759557
S5_MLP_seed22,256,256,210,0.8203125,0.9025707407235241,0.8966809864742332,0.9085210917312617,S4:0.42 A4:0.39 D10:0.05 S3xS2~sgn:0.03,0.9987761989390436
S5_MLP_seed23,256,256,236,0.921875,0.9848785592944456,0.9701398813734128,0.9995372996295181,A4:0.47 S4:0.24 F20:0.24 S3xS2:0.02 D10:0.01 S3xS2~sgn:0.00,0.9999186811134512
S5_MLP_seed24,256,256,256,1.0,1.0,1.0,1.0,S4:0.77 S3xS2:0.17 A4:0.06 S3xS2~sgn:0.01,0.9999994967651177
S5_MLP_seed25,256,210,210,1.0,1.0,1.0,1.0,S4:0.65 A4:0.33 A5:0.01 S3xS2:0.00 S3xS2~sgn:0.00,0.999999894745498
S5_MLP_seed26,256,256,256,1.0,1.0,1.0,1.0,F20:0.59 S4:0.39 A5:0.03 S3xS2:0.00,0.9999999884866679
S5_MLP_seed27,256,256,231,0.90234375,0.9676658687165854,0.9689293443639472,0.9663802250594616,S4:0.32 S3xS2:0.31 A4:0.29 S3xS2~sgn:0.04,0.9993067778343998
S5_MLP_seed28,256,256,254,0.9921875,0.9984886050282336,0.9984885306191833,0.9984886794261622,F20:0.84 S4~sgn:0.14 A5:0.02 S3xS2~sgn:0.00,0.9999999894254088
S5_MLP_seed29,256,184,184,1.0,1.0,1.0,1.0,S4:0.62 A4:0.36 A5:0.02,0.9999998527946006
S5_MLP_seed30,256,204,204,1.0,1.0,1.0,1.0,S4:0.95 A5:0.04 S3xS2:0.01,0.9999999858030938
S5_MLP_seed31,256,208,204,0.9807692307692307,0.9999012560068664,0.9999012466842523,0.9999012653280429,S4:0.95 A5:0.04 S3xS2:0.00,0.9999999894876909
S5_MLP_seed32,256,256,243,0.94921875,0.9718356346602031,0.9765523665428991,0.9670214014327925,D10:0.38 A4:0.23 F20:0.22 S4:0.07 S3xS2~sgn:0.04 S3xS2:0.03,0.9996525614671732
S5_MLP_seed33,256,252,252,1.0,1.0,1.0,1.0,S4:0.93 A5:0.07 S3xS2:0.00,0.9999999922058309
S5_MLP_seed34,256,256,256,1.0,1.0,1.0,1.0,S4:0.55 F20:0.42 A5:0.03,0.9999999894149292
S5_MLP_seed35,256,180,178,0.9888888888888889,0.9999999989065952,0.9999999989290085,0.999999998884177,S4:0.96 A5:0.04 S3xS2:0.00 D10:0.00 F20:0.00 A4:0.00,0.9999999856550449
S5_MLP_seed36,256,210,210,1.0,1.0,1.0,1.0,S4:0.96 A5:0.04 S3xS2:0.00,0.9999999878527359
S5_MLP_seed37,256,172,172,1.0,1.0,1.0,1.0,S4:0.95 A5:0.04 S3xS2:0.01 A4:0.00,0.9999999870197736
S5_MLP_seed38,256,256,256,1.0,1.0,1.0,1.0,S4:0.56 F20:0.40 A5:0.03 S3xS2:0.00,0.9999999899177684
S5_MLP_seed39,256,206,206,1.0,1.0,1.0,1.0,S4:0.90 A5:0.06 S3xS2:0.04 A4:0.00,0.9999999895420033
S5_MLP_seed40,256,256,256,1.0,1.0,1.0,1.0,S4:0.45 F20:0.36 A4:0.16 A5:0.01 S3xS2~sgn:0.01 S3xS2:0.00,0.9999998720604701
S5_MLP_seed41,256,256,256,1.0,1.0,1.0,1.0,S4:0.93 A5:0.07,0.9999999915332893
S5_MLP_seed42,256,256,218,0.8515625,0.9424971366670484,0.9497902693458818,0.9352759305410069,S3xS2~sgn:0.29 F20:0.21 A4:0.18 D10:0.14 S4:0.07 S3xS2:0.04,0.9940357502627053
S5_MLP_seed43,256,228,228,1.0,1.0,1.0,1.0,S4:0.91 A5:0.07 S3xS2:0.02 A4:0.00,0.9999999889483756
S5_MLP_seed44,256,250,250,1.0,1.0,1.0,1.0,S4:0.91 A5:0.06 S3xS2:0.03,0.9999999878586373
S5_MLP_seed45,256,256,254,0.9921875,0.998851319979,0.9988513893330048,0.9988512504650031,F20:0.58 S4:0.21 D10:0.12 A4:0.04 A5:0.02 S3xS2~sgn:0.02 S4~sgn:0.00,0.999998650725718
S5_MLP_seed46,256,256,256,1.0,1.0,1.0,1.0,F20:0.61 S4:0.32 A4:0.05 A5:0.02,0.9999999889277352
S5_MLP_seed47,256,256,241,0.94140625,0.9816015277984722,0.9832348950451659,0.9799675489624639,S4:0.72 S3xS2:0.20 A5:0.06,0.9999719385688226
S5_MLP_seed48,256,238,238,1.0,1.0,1.0,1.0,S4:0.92 A5:0.07 S3xS2:0.01,0.9999999906220794
S5_MLP_seed49,256,226,226,1.0,1.0,1.0,1.0,S4:0.94 A5:0.04 S3xS2:0.01,0.9999999809058489
S5_MLP_seed50,256,252,252,1.0,1.0,1.0,1.0,S4:0.69 A4:0.13 S3xS2~sgn:0.09 S4~sgn:0.07 A5:0.02 S3xS2:0.01,0.9999995888955464
