run,side,neuron,energy,energy_frac,e_1,e_sgn,e_std,e_std',e_5a,e_5b,e_6d,dominant_irrep,alpha_A5,alpha_S4,alpha_S4~sgn,alpha_F20,alpha_F20~sgn,alpha_A4,alpha_S3xS2,alpha_S3xS2~sgn,alpha_D10,alpha_D8,alpha_D8~sgn,alpha_C6,alpha_C6~sgn,alpha_S3,alpha_S3',alpha_S3~sgn,alpha_C5,alpha_C4,alpha_C4~sgn,alpha_V4,alpha_primary,family_primary,proj_primary,alpha_any,family_any,live,aligned
S5_MLP_seed11,x,0,1138.7927922398408,0.01162796744666633,2.52801210073724e-36,2.2761544834626098e-10,0.999999993851511,9.586540258103657e-10,1.4004362602847214e-09,1.9320372665790324e-09,1.6297458553109886e-09,standard,2.2761544834634822e-10,0.9999999923359468,8.127131674184888e-10,6.73909765566823e-10,1.254570463841253e-09,0.9999999931486607,0.8059608287855289,1.1134283515873239e-09,1.386034040334985e-09,0.9999999934666604,1.9887300514380622e-09,0.8059608295995933,0.8196735943363049,0.9999999937374003,0.8059608293180739,1.5924258862510958e-09,2.2063583532833012e-09,0.9999999940175784,0.846444391286289,0.9999999950143192,0.9999999923359468,S4,S4[3]r,0.9999999923359468,S4,True,True
S5_MLP_seed11,x,1,173.76013341913523,0.0017742272243856728,1.2585500345519028e-34,1.2715571756436642e-09,0.9999993582779673,4.403205769517246e-09,2.7951268946356943e-08,5.888040747312488e-07,1.9291925604835795e-08,standard,1.2715571756431729e-09,0.5262594571652648,3.940317258362009e-09,1.1983729661013867e-08,3.2550547491472835e-07,0.5262594593300108,0.9999999012442268,1.4213028639445235e-08,3.267794516934189e-07,0.5262596594622384,4.004619141663566e-07,0.9999999038629032,0.8241635955981939,0.9999999190063661,0.9999999074816254,2.1324245995478573e-08,3.324873365399433e-07,0.5262596762662539,0.8333869306812097,0.526259708746136,0.9999999012442268,S3xS2,S3xS2[4]r,0.9999999012442268,S3xS2,True,True
S5_MLP_seed11,x,2,6.226318195387864e-50,6.357559143499419e-55,9.189247602105829e-34,1.3123027389238373e-09,0.99999997971577,7.276836204326908e-10,5.347868431112143e-09,7.121094202312738e-09,5.77528107006045e-09,standard,1.3123027389235331e-09,0.6015734153480378,1.8337365037397181e-09,2.314536710642071e-09,5.176201310995369e-09,0.6015734169905409,0.9999999793916979,4.496066731261761e-09,5.96751893314959e-09,0.6015734191397235,7.929838376531219e-09,0.9999999805894833,0.8385931254727345,0.9999999840181346,0.9999999811761323,4.971437681871356e-09,7.697073786523874e-09,0.6015734214691142,0.853983245965578,0.601573422887646,0.9999999793916979,S3xS2,S3xS2[2]r,0.9999999793916979,S3xS2,False,False
S5_MLP_seed11,x,3,955.1178798616609,0.009752502553968843,2.4222527914568546e-34,2.722331137881665e-10,0.9999999933146659,5.532611465429876e-10,2.891991990505892e-09,1.879672010930315e-09,1.0881756858139658e-09,standard,2.72233113788037e-10,0.9999999917091232,5.796298412305503e-10,1.561002479689199e-09,1.0390130748820532e-09,0.9999999922850722,0.7774004636079879,1.5692655752839313e-09,2.3569257841088173e-09,0.9999999926631888,2.4253068548779486e-09,0.7774004638847422,0.8435347158265943,0.9999999931158514,0.7774004641319772,2.08369473030062e-09,2.7886916827741333e-09,0.9999999941269397,0.8430466577197228,0.9999999936988299,0.9999999917091232,S4,S4[2]r,0.9999999917091232,S4,True,True
S5_MLP_seed11,x,4,1469.4605267855018,0.015004344325024776,5.653009855586282e-35,4.0898982088292356e-11,0.9999999928915418,8.906228825394339e-10,1.447177988324002e-09,1.73438651290854e-09,2.9953708329786244e-09,standard,4.089898208825158e-11,0.9999999916345022,5.039612781250729e-10,4.954563508758554e-10,6.813344984358103e-10,0.9999999917718786,0.7804346675744148,9.146944521125511e-10,1.1538638375409603e-09,0.9999999927677027,1.4013216139990568e-09,0.7804346680732938,0.7488797944547482,0.9999999937537096,0.7804346678795243,2.415851834869462e-09,2.7131788230078823e-09,0.9999999939144109,0.9282907686046796,0.9999999932393544,0.9999999916345022,S4,S4[4]r,0.9999999916345022,S4,True,True
S5_MLP_seed11,x,5,1452.6421936143556,0.014832615954460863,1.1849211586172744e-36,3.554024268869993e-11,0.9999999909037898,6.524198585824393e-10,3.5805734243978283e-09,2.9545422503390062e-09,1.873134749225057e-09,standard,3.554024268881781e-11,0.9999999890779211,3.54178453586054e-10,1.2139494679241063e-09,1.6968147016300575e-09,0.9999999891953244,0.780512486527435,2.1732529906246893e-09,2.910764169554309e-09,0.9999999904288297,2.583498209542024e-09,0.7805124871316976,0.8312321836479315,0.9999999921996396,0.7805124875432499,2.3147098342554555e-09,3.941057196676106e-09,0.9999999912570414,0.8599785797901572,0.9999999907963804,0.9999999890779211,S4,S4[0]r,0.9999999890779211,S4,True,True
S5_MLP_seed11,x,6,971.1294500396795,0.009915993241711798,8.883859597164592e-34,3.340921908521815e-11,0.9999999895663727,6.021027599221243e-10,2.7880411531527056e-09,4.042992823834332e-09,2.9670816432549916e-09,standard,3.340921908509987e-11,0.9999999872838387,3.672305308106788e-10,1.0377175397019526e-09,2.7798559062240948e-09,0.9999999875054791,0.805979143442167,1.3192087048687522e-09,3.3977859320164773e-09,0.9999999882099738,3.1240677522342467e-09,0.805979143995183,0.8206495345523829,0.9999999920848484,0.805979144169123,2.1252632761324665e-09,4.438738324001708e-09,0.9999999895055943,0.8443285615655014,0.9999999888481602,0.9999999872838387,S4,S4[4]r,0.9999999872838387,S4,True,True
S5_MLP_seed11,x,7,1337.0715500941917,0.013652549053967417,2.1855699626197815e-33,9.976622613617758e-13,0.9999999925679895,9.930688473222313e-10,1.8614876068158886e-09,1.9083183020824857e-09,2.668138645473015e-09,standard,9.976622613879493e-13,0.9999999904088784,5.267094832151808e-10,7.174491299893818e-10,6.168120112683305e-10,0.9999999908523036,0.7824300292399982,9.620855934090153e-10,1.280961445401338e-09,0.9999999915576079,1.7612381606714896e-09,0.7824300307682621,0.8317120524536822,0.9999999922932585,0.7824300297349434,2.0232079477834296e-09,2.5274109977161617e-09,0.9999999925382487,0.8585539198748675,0.9999999926520249,0.9999999904088784,S4,S4[1]r,0.9999999904088784,S4,True,True
S5_MLP_seed11,x,8,1.3726897116794437e-46,1.4016238415408496e-51,1.704038503977257e-33,1.4192131978456572e-09,0.9999999792091893,1.7623014565514672e-09,6.978192538067859e-09,7.0630747149844355e-09,3.568028529596663e-09,standard,1.419213197845681e-09,0.5118673843955911,2.3735134537413986e-09,3.8333200833015e-09,5.0102025493324255e-09,0.5118673858947485,0.9999999758106066,5.126746747457902e-09,6.2945250709438966e-09,0.5118673883782161,7.566168985197135e-09,0.9999999762888441,0.7394067593714864,0.9999999784019339,0.9999999790971446,6.233403857673206e-09,7.6074036455986e-09,0.511867390985133,0.9337565345032083,0.5118673913281937,0.9999999758106066,S3xS2,S3xS2[4]r,0.9999999758106066,S3xS2,False,False
S5_MLP_seed11,x,9,746.2375819890459,0.007619670909385344,2.752246129472301e-36,2.2767682191041626e-10,0.999999992663516,4.823723822138165e-10,2.4278959226094507e-09,1.4385245675850092e-09,2.7600141714620893e-09,standard,2.2767682191105598e-10,0.9999999910860269,4.310093168497246e-10,1.0812991680075878e-09,1.0459306396906856e-09,0.9999999915170376,0.8059327025543837,1.6209817710520693e-09,1.804075158578239e-09,0.9999999927167692,2.3448734387706438e-09,0.8059327030493642,0.8187494268548614,0.9999999938427183,0.8059327035853179,2.2445771108825937e-09,2.4976682402652145e-09,0.9999999933018895,0.8483970249905763,0.9999999938872315,0.9999999910860269,S4,S4[0]r,0.9999999910860269,S4,True,True
