run,n_cols,n_live,n_aligned,frac_aligned,F_coset,F_coset_x,F_coset_y,families,median_alpha_primary
S5_MLP_hidden_dim_32_seed10,64,64,9,0.140625,0.3781905011896332,0.3335633181476602,0.42184224089654143,A4:0.27 D10:0.06 S3xS2~sgn:0.05,0.35337344122075065
S5_MLP_hidden_dim_32_seed2,64,64,8,0.125,0.5372371550562417,0.618541682035617,0.44863534497345287,A4:0.54,0.2188716094620191
S5_MLP_hidden_dim_32_seed3,64,64,0,0.0,0.0,0.0,0.0,,0.20275802668746526
S5_MLP_hidden_dim_32_seed4,64,64,4,0.0625,0.38586606400851053,0.3900224619073202,0.3816928804216179,D10:0.39,0.1934081665114979
S5_MLP_hidden_dim_32_seed5,64,64,4,0.0625,0.41057964561668603,0.42010970327639663,0.40108546868203027,D10:0.20 A4:0.11 S3xS2~sgn:0.10,0.21700230420266764
S5_MLP_hidden_dim_32_seed8,64,64,0,0.0,0.0,0.0,0.0,,0.19899279268754516
S5_MLP_hidden_dim_48_seed1,96,96,0,0.0,0.0,0.0,0.0,,0.23327183836293108
S5_MLP_hidden_dim_48_seed2,96,96,5,0.052083333333333336,0.24519208365834447,0.2723577852054189,0.2178117736667927,D10:0.16 S3xS2~sgn:0.05 A4:0.03,0.2350718882400344
S5_MLP_hidden_dim_48_seed3,96,96,4,0.041666666666666664,0.23565399559619318,0.23348118647382377,0.23791642966027388,S3xS2~sgn:0.12 D10:0.06 A4:0.06,0.21447075354043443
S5_MLP_hidden_dim_64_seed1,128,128,1,0.0078125,0.022787210968485436,0.04623369522929119,0.0,D10:0.02,0.20721695967501447
S5_MLP_hidden_dim_64_seed2,128,128,4,0.03125,0.12235356823797952,0.12179036774115767,0.12290628581128465,S3xS2~sgn:0.06 D10:0.06,0.20534590999990038
S5_MLP_hidden_dim_64_seed3,128,128,5,0.0390625,0.11953184643658422,0.13522832382480576,0.10405546393973801,A4:0.07 D10:0.05,0.20972781016492964
S5_MLP_hidden_dim_64_seed4,128,128,4,0.03125,0.12851792295812406,0.1323735391398398,0.124772286107326,D10:0.06 A4:0.03 S3xS2~sgn:0.03,0.2004798098375143
S5_MLP_hidden_dim_80_seed1,160,160,4,0.025,0.10053908249342536,0.101445692865351,0.09965191392798985,D10:0.08 S3xS2~sgn:0.03,0.20871724008146847
S5_MLP_hidden_dim_80_seed2,160,160,16,0.1,0.3614080595561502,0.3323690207229471,0.3908607000196381,A4:0.27 S4:0.05 D10:0.04,0.3189137879202427
S5_MLP_hidden_dim_80_seed3,160,160,0,0.0,0.0,0.0,0.0,,0.19902348530477926
S5_MLP_hidden_dim_80_seed4,160,160,4,0.025,0.0987450528967459,0.09792815927362054,0.09957529181944602,D10:0.05 S3xS2~sgn:0.02 A4:0.02,0.19371510201137887
S5_MLP_hidden_dim_96_seed1,192,192,13,0.06770833333333333,0.24858663586097454,0.2400133614014328,0.2571759799317345,A4:0.17 D10:0.04 S3xS2~sgn:0.04,0.37874881797847954
S5_MLP_hidden_dim_96_seed2,192,192,8,0.041666666666666664,0.1540013427480175,0.15460229752587465,0.15340412363145658,A4:0.13 S3xS2~sgn:0.02,0.2182993823445822
S5_MLP_hidden_dim_96_seed4,192,192,0,0.0,0.0,0.0,0.0,,0.202651040601865
