run,side,neuron,energy,energy_frac,e_1,e_sgn,e_std,e_std',e_5a,e_5b,e_6d,dominant_irrep,alpha_A5,alpha_S4,alpha_S4~sgn,alpha_F20,alpha_F20~sgn,alpha_A4,alpha_S3xS2,alpha_S3xS2~sgn,alpha_D10,alpha_D8,alpha_D8~sgn,alpha_C6,alpha_C6~sgn,alpha_S3,alpha_S3',alpha_S3~sgn,alpha_C5,alpha_C4,alpha_C4~sgn,alpha_V4,alpha_primary,family_primary,proj_primary,alpha_any,family_any,live,aligned
S5_MLP_hidden_dim_32_seed10,x,0,5253.168376967074,0.06574140559513021,7.970480490559112e-33,0.010008590069907593,0.5009388264430212,0.05423659816788444,0.08784868472211041,0.17789078988133908,0.16907651071573726,standard,0.010008590069907569,0.3566908382086272,0.03785030399395423,0.03123452901867115,0.09715442127238955,0.3822585995071848,0.3726685251169969,0.06948438546880929,0.12196288834053037,0.39554094242155874,0.1370109767786138,0.39024331764898285,0.47688793231181825,0.5636271799252728,0.4185089925138101,0.12258734303387818,0.17251585955073978,0.4592678273780281,0.4269390421353221,0.44142561092649485,0.3822585995071848,A4,A4[1]r,0.5636271799252728,S3,True,False
S5_MLP_hidden_dim_32_seed10,x,1,2048.157673136425,0.025631914808369332,1.5236968216859425e-33,0.035489727239088366,0.09404259837198864,0.06074548755328198,0.08467623107721013,0.16203412231878708,0.5630118334396434,s5_6d,0.03548972723908836,0.05868812977403052,0.0651779384827267,0.04027224778826194,0.1145362440211477,0.10439233221507237,0.08729838683889465,0.10076747165083319,0.15480849180940973,0.1375379977244296,0.16247426693194472,0.32751193011486845,0.3208599871473544,0.33208268785848266,0.1659155899629867,0.36839695225246816,0.4554667802910103,0.53170197662776,0.5202965349594957,0.22611977876307487,0.15480849180940973,D10,D10[5]l,0.53170197662776,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,2,1212.6531523452963,0.015175893292149282,2.7042905603219104e-34,0.00038113830513879547,0.2972776800376301,0.11576994998588626,0.25161060242330263,0.09024620959131258,0.24471441965672946,standard,0.0003811383051387942,0.22329943229236443,0.06318812089003893,0.14639510886922874,0.04243762516365278,0.27901974976171295,0.23651144639772456,0.18371053209911845,0.15464356616665403,0.33226745549856124,0.17471014759470663,0.3183968244206637,0.3965304963418999,0.32754833375822273,0.31093404003445746,0.23337398745972518,0.23581009018851648,0.538908458520191,0.42281834866167567,0.40220168288763036,0.27901974976171295,A4,A4[2]r,0.538908458520191,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,3,667.9553037870588,0.008359206748106616,9.535770018065424e-35,0.008068521850264276,0.12376768879983123,0.05045948538552299,0.13894503418937582,0.16538190088875232,0.5133773688862535,s5_6d,0.008068521850264276,0.051541832266673505,0.03949813829582853,0.06608984827173785,0.08516236353830994,0.07577068433923209,0.13012669333144522,0.07556247916027577,0.127499320343424,0.15312203589096307,0.13442880848302716,0.28771644511516786,0.30723574331027914,0.3097285090035052,0.18816898315046243,0.27950965559814017,0.4634421043570922,0.5023488243956161,0.4092189152124295,0.21745098694514983,0.13012669333144522,S3xS2,S3xS2[4]l,0.5023488243956161,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,4,8194.983446053062,0.10255710304937918,2.768008201432735e-34,6.915905674619236e-05,0.9963837522979361,0.00037242835658458245,0.0010280209884079993,0.0007552879258317622,0.0013913513744934335,standard,6.915905674619218e-05,0.9960431133835823,0.00022853804386321682,0.00029499482764912,0.0004658740636241222,0.9962397280258849,0.6742197507288713,0.0005879619792918229,0.0005938295866989943,0.9966106358353073,0.0008116877991407182,0.6749150059291508,0.8946228339055384,0.9965146870115136,0.6748077127081623,0.0012832171795717807,0.0011230551029860153,0.9972166523346726,0.7725018281269934,0.9970314882992274,0.9962397280258849,A4,A4[2]r,0.9972166523346726,C4,True,True
S5_MLP_hidden_dim_32_seed10,x,5,7646.564607176546,0.09569384972579027,3.2623861198933137e-34,0.949685158201927,0.005634117910764556,0.00542751888394797,0.015389462733783376,0.011430889672989778,0.012432852596588833,sign,0.9496851582019276,0.002753001871780816,0.9536599193137995,0.006817798926580837,0.9546988637612649,0.9564129211855805,0.0070985381128181235,0.9612167802698441,0.9581418078034548,0.014519644439222318,0.961308617205498,0.010166094269450015,0.9662544896884935,0.011243012650377701,0.9637073222659214,0.9675198413752142,0.9637313200151673,0.021189143011347746,0.9674074217984839,0.966430443719741,0.9612167802698441,S3xS2~sgn,S3xS2~sgn[9]r,0.9675198413752142,S3~sgn,True,True
S5_MLP_hidden_dim_32_seed10,x,6,1290.566708507603,0.016150951833863576,1.1051618257466061e-35,0.005570097685141957,0.08875309563416665,0.08915057200969509,0.12298069941727498,0.12269054660853405,0.5708549886451878,s5_6d,0.005570097685141976,0.05460729397643371,0.03904083706443322,0.0536918972087284,0.056830606223037795,0.07300359199448013,0.09910918840459819,0.09999616186479203,0.08826550622327035,0.10554131239619698,0.12096078832940448,0.3492931586612848,0.3235659507526345,0.33692806231087596,0.1499575823164314,0.3273620269047357,0.4447359862704344,0.4875804773563208,0.39653864037817543,0.18311380111684045,0.09999616186479203,S3xS2~sgn,S3xS2~sgn[6]l,0.4875804773563208,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,7,784.7322915592903,0.009820626365070086,6.1457377429808684e-33,0.005877628957788562,0.0852476812787086,0.5644420151834542,0.0850591364111181,0.11750940411859605,0.14186413405033485,standard_sign,0.005877628957788566,0.0497367348727653,0.5539166655422745,0.0353650294588873,0.057711769566814244,0.590663293347234,0.06679312665737078,0.5652589023918619,0.08028666144989027,0.1209849875428726,0.6079709559682883,0.44977271824367016,0.608080811110886,0.1297431106938044,0.632052029049233,0.6081205986226537,0.1292108374162576,0.612539645672814,0.6786269085746217,0.6801646154212796,0.590663293347234,A4,A4[0]l,0.6801646154212796,V4,True,False
S5_MLP_hidden_dim_32_seed10,x,8,2627.225802770378,0.032878732356497915,2.435443428883198e-33,2.898562135117946e-05,0.02661026761341652,0.02703641967713276,0.8761824075536602,0.0360160648574147,0.03412585467702482,s5_5d_a,2.8985621351179402e-05,0.01360726555390301,0.014550695615482575,0.820219346749756,0.012933478055459137,0.022808701098769726,0.02963104047659188,0.6365254640679491,0.8210311606241213,0.6512642283307947,0.5652747279445012,0.03861819218960935,0.6453549419710792,0.03742772174676398,0.6478091519807576,0.6452750233238262,0.8297220875852047,0.8775519341919311,0.5876283937386294,0.6765622548873619,0.8210311606241213,D10,D10[2]r,0.8775519341919311,C4,True,False
S5_MLP_hidden_dim_32_seed10,x,9,1356.9542339534528,0.016981766482015485,6.9590157236513495e-37,0.004202981073643684,0.05753004872901688,0.055859270240910364,0.6684561743307225,0.05270855376866334,0.16124297185704392,s5_5d_a,0.004202981073643685,0.030924703240796148,0.03919627620963912,0.41531668149094264,0.02507492785320532,0.059312469566790885,0.047068426667474295,0.5343537875037083,0.42671372614971037,0.48411282079264184,0.4426443555741254,0.11271598469992107,0.5966054757325457,0.10038678428180198,0.5528105498015065,0.6044963103204187,0.46392870296909483,0.7148896289828679,0.49954547137421607,0.5441407942538086,0.5343537875037083,S3xS2~sgn,S3xS2~sgn[9]l,0.7148896289828679,C4,True,False
