run,n_cols,n_live,n_aligned,frac_aligned,F_coset,F_coset_x,F_coset_y,families,median_alpha_primary
random_init_seed1,256,256,0,0.0,0.0,0.0,0.0,,0.18038896756782544
random_init_seed2,256,256,0,0.0,0.0,0.0,0.0,,0.17154494028148393
random_init_seed3,256,256,0,0.0,0.0,0.0,0.0,,0.17428252091211227
random_init_seed4,256,256,0,0.0,0.0,0.0,0.0,,0.1757591153962071
random_init_seed5,256,256,0,0.0,0.0,0.0,0.0,,0.17040580659304255
random_init_seed6,256,256,0,0.0,0.0,0.0,0.0,,0.17293487650766712
random_init_seed7,256,256,0,0.0,0.0,0.0,0.0,,0.17427167589492032
random_init_seed8,256,256,0,0.0,0.0,0.0,0.0,,0.1705829653665991
random_init_seed9,256,256,0,0.0,0.0,0.0,0.0,,0.175052986899076
random_init_seed10,256,256,0,0.0,0.0,0.0,0.0,,0.17136965590877165
